Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro. 2 = Pluviógrafo. 3 = Data logger
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Acumulado

Restrições da consulta:
Código da Estação:03152011


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
3152011;1;01/04/2020;1;31.0;39.9;2;5;1;1;1;;0;0.8;31.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.5;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3152011;1;01/03/2020;1;14.9;30.4;19;5;1;1;1;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8;0.0;9.1;14.9;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3152011;1;01/02/2020;1;33.3;42.3;9;4;1;1;1;;0;7.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
3152011;1;01/01/2020;1;65.5;157.4;22;13;1;1;1;;0;1.0;0.7;1.2;1.8;0.0;0.0;2.5;0.0;0.0;4.6;58.7;0.3;0.0;0.0;0.0;7.2;0.0;0.0;0.0;0.0;0.0;65.5;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.3;8.1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3152011;1;01/12/2019;1;51.7;69.8;21;5;1;1;1;;0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.2;11.5;0.0;0.0;0.0;0.0;51.7;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3152011;1;01/11/2019;1;16.7;28.0;5;6;1;1;1;;0;0.0;0.0;0.8;0.0;16.7;0.0;0.0;0.0;0.0;0.0;0.0;1.3;0.0;3.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;4.0;0.0;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3152011;1;01/10/2019;1;115.2;357.5;31;15;1;1;1;;0;0.0;1.7;6.0;38.3;16.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.6;35.5;5.7;24.4;25.6;0.0;0.0;0.0;12.2;0.0;0.0;0.0;0.0;19.2;13.2;0.2;38.5;115.2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3152011;1;01/09/2019;1;55.3;110.4;12;;1;1;0;;0;0.5;0.0;0.0;0.0;0.0;0.0;5.6;;20.2;9.2;10.5;55.3;0.7;0.0;4.4;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1;1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3152011;1;01/08/2019;1;33.6;136.7;31;9;1;1;1;;0;0.0;8.4;0.0;0.0;0.8;0.0;0.0;0.0;29.3;32.7;0.0;17.7;13.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;33.6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3152011;1;01/07/2019;1;43.1;176.9;24;9;1;1;1;;0;6.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.1;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.3;43.1;27.5;20.2;0.0;1.0;0.0;28.4;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3152011;1;01/06/2019;1;21.1;40.8;29;5;1;1;1;;0;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.9;0.0;0.0;0.0;0.0;0.0;0.0;5.6;0.0;0.0;21.1;2.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3152011;1;01/05/2019;1;66.6;220.4;14;14;1;1;1;;0;0.0;0.0;0.0;33.8;0.0;3.9;0.7;0.0;0.0;18.5;20.0;0.0;0.0;66.6;6.9;0.0;0.0;0.0;0.0;0.0;7.2;0.6;19.5;0.3;0.0;0.0;0.2;35.1;0.0;0.0;7.1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3152011;1;01/04/2019;1;46.7;161.4;26;10;1;1;1;;0;0.0;0.0;0.0;2.3;44.2;0.3;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8;2.8;46.7;27.8;0.0;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
3152011;1;01/03/2019;1;17.2;37.1;9;9;1;1;1;;0;0.0;0.0;0.0;0.0;0.0;2.3;0.0;5.3;17.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8;4.9;0.0;1.2;0.0;0.0;0.0;0.0;0.0;2.1;1.0;0.0;0.0;1.3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3152011;1;01/02/2019;1;24.8;63.2;16;14;1;1;1;;0;9.2;1.8;2.1;0.0;1.0;0.0;1.7;0.0;0.0;0.0;0.0;9.4;0.0;0.0;0.8;24.8;3.4;0.0;0.0;0.2;0.0;0.0;0.0;0.5;7.8;0.4;0.0;0.1;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
3152011;1;01/01/2019;1;27.5;171.3;19;18;1;1;1;;0;0.0;0.0;19.2;13.6;0.0;0.0;16.0;2.4;0.0;3.2;3.1;0.2;17.6;9.2;8.2;20.8;1.5;3.8;27.5;1.6;14.2;9.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3152011;1;01/12/2018;1;16.6;44.6;21;11;1;1;1;;0;0.6;3.7;0.7;0.0;2.6;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;5.2;0.0;0.9;7.0;6.6;16.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
3152011;1;01/11/2018;1;54.0;128.3;18;7;1;1;1;;0;2.1;0.0;26.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;54.0;0.0;0.0;0.0;0.0;0.0;17.3;27.1;0.0;0.0;0.8;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
