Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
MediaDiaria: 0 = Não. 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga. 2 = Transferência de vazões. 3 = Soma de vazões. 4 = ADCP
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Régua Seca

Restrições da consulta:
Código da Estação:87905000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
87905000;1;01/04/2019;;1;1;589.133;30.973;108.437;29;1;1;1;1;;0;30.973;35.165;34.687;35.165;72.552;161.998;169.834;114.43;88.692;77.306;67.29;59.739;53.184;43.746;45.891;48.637;67.938;71.884;67.938;62.21;56.716;52.029;47.53;43.218;43.746;56.716;146.839;310.089;589.133;497.837;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;0;
87905000;1;01/03/2019;;1;1;72.552;30.973;50.105;10;31;1;1;1;;0;62.21;57.315;53.765;50.887;46.98;46.98;54.937;50.887;62.835;72.552;65.363;58.521;52.029;48.082;44.813;42.169;41.133;41.65;50.32;70.558;66.645;58.521;50.32;48.082;44.813;40.619;37.599;35.165;33.74;32.806;30.973;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/02/2019;;1;1;190.168;68.588;111.289;3;28;1;1;1;0;0;152.443;174.818;190.168;157.187;158.144;144.992;135.029;121.971;113.606;107.914;102.357;103.143;100.017;96.173;92.398;101.575;105.516;105.516;113.606;108.719;99.243;92.398;83.622;75.934;71.22;70.558;69.242;68.588;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
87905000;1;01/01/2019;;1;1;1790.649;53.184;578.19;15;2;1;1;1;;0;57.917;53.184;67.29;153.387;136.816;90.166;81.492;85.778;75.934;77.306;327.289;902.615;1207.608;1539.917;1790.649;1702.442;1215.533;909.701;1018.527;1226.131;1252.781;1134.607;715.198;462.68;358.764;299.718;255.066;215.959;189.126;167.859;152.443;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/12/2018;;1;1;173.816;56.12;94.091;24;15;1;1;1;;0;125.393;140.423;132.368;105.516;102.357;93.899;85.057;78.69;71.22;68.588;66.003;62.21;60.353;58.521;56.12;56.12;58.521;61.588;71.884;87.23;115.257;147.766;170.826;173.816;147.766;124.534;106.313;85.057;74.573;66.645;62.21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/11/2018;;1;1;434.799;101.575;187.688;21;17;2;2;2;;0;178.853;201.801;240.922;256.261;283.211;280.71;209.37;168.846;144.992;130.608;128.859;120.276;112.785;109.527;107.112;104.722;101.575;155.282;267.136;428.712;434.799;328.63;198.597;166.876;161.031;145.914;128.859;116.919;109.527;107.914;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;0;
87905000;1;01/10/2018;;1;1;1505.297;154.333;540.146;3;30;2;2;2;;0;1181.335;1380.972;1505.297;1459.61;1268.877;774.316;576.899;486.522;468.984;480.111;580.383;539.224;549.383;544.292;587.378;606.813;547.683;428.712;321.951;293.318;278.219;264.702;231.699;201.801;187.05;178.853;174.818;170.826;162.968;154.333;157.187;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
87905000;1;01/09/2018;;1;1;2516.292;238.6;936.578;3;23;1;1;1;;0;1234.103;2124.167;2516.292;2377.832;1981.738;1350.539;844.403;645.426;512.561;442.464;388.66;343.545;312.708;286.982;323.282;377.142;394.48;391.565;336.728;293.318;276.977;255.066;238.6;668.376;1956.253;1918.264;1696.422;1672.426;1160.477;776.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
87905000;1;01/08/2018;;1;1;879.151;135.029;334.428;27;19;2;2;2;0;0;653.736;542.6;444.004;378.573;338.086;310.089;278.219;247.947;257.46;263.488;242.086;211.556;190.168;181.908;173.816;162.968;150.564;143.157;135.029;136.816;145.914;162.968;215.959;272.036;439.391;796.669;879.151;763.232;488.131;371.442;390.112;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;
87905000;1;01/07/2018;;1;1;1937.223;107.914;606.489;28;1;1;1;1;0;0;107.914;110.337;315.336;549.383;545.987;445.547;462.68;527.482;576.899;630.983;501.092;397.404;336.728;281.959;247.947;212.653;214.854;329.973;416.656;494.592;502.723;483.311;430.23;433.274;557.915;907.337;1654.515;1937.223;1756.989;1516.803;914.437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
