Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro. 2 = Pluviógrafo. 3 = Data logger
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Acumulado

Restrições da consulta:
Código da Estação:02951010


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2951010;1;01/04/2020;1;;23.9;;;0;1;0;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;23.9;0.0;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;4;1;1;1;0;
2951010;1;01/01/2020;1;45.4;147.2;11;10;1;1;1;;0;5.0;0.0;0.0;0.0;0.0;0.0;7.3;0.0;0.0;16.6;45.4;0.0;0.0;0.0;17.6;2.1;0.0;0.0;0.0;0.0;45.1;0.0;0.0;0.0;0.5;0.0;0.0;4.7;0.0;0.0;2.9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2951010;1;01/10/2019;1;53.4;319.2;4;12;1;1;1;;0;0.0;0.0;32.7;53.4;39.0;0.0;18.6;0.0;0.0;0.0;0.0;0.0;0.0;11.1;9.3;25.9;0.0;0.0;0.0;0.0;20.1;20.7;0.0;0.0;0.0;0.0;30.0;0.0;0.0;14.7;43.7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2951010;1;01/09/2019;1;34.1;141.6;18;7;1;1;1;;0;30.0;0.0;0.0;0.0;0.0;0.0;7.1;0.0;0.0;0.0;0.0;16.3;7.6;0.0;0.0;0.0;13.9;34.1;32.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2951010;1;01/08/2019;1;33.9;63.6;2;4;1;1;1;;0;0.0;33.9;0.0;0.0;0.0;0.0;0.0;0.0;14.8;10.6;0.0;0.0;4.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2951010;1;01/07/2019;1;41.5;74.4;1;4;1;1;1;;0;41.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;18.4;2.5;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2951010;1;01/06/2019;1;23.7;37.3;26;5;1;1;1;;0;0.0;2.9;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.9;0.0;0.0;0.0;0.0;0.0;0.0;23.7;0.0;4.3;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2951010;1;01/05/2019;1;;;;;0;0;0;;0;2.7;1.5;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.2;3.4;;13.6;0.0;1.1;16.3;;23.2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;4;1;1;1;0;4;0;
2951010;1;01/04/2019;1;56.5;181.3;26;9;1;1;1;;0;0.0;0.0;0.0;0.0;35.0;4.3;6.4;50.6;0.0;0.0;0.0;0.0;0.0;13.2;5.6;4.7;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.5;0.0;0.0;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2951010;1;01/03/2019;1;38.7;119.5;10;;1;1;0;;0;0.0;0.0;0.0;0.0;0.0;0.0;19.1;15.2;13.1;38.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;27.6;0.0;1.3;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;
