Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
MediaDiaria: 0 = Não. 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga. 2 = Transferência de vazões. 3 = Soma de vazões. 4 = ADCP
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Régua Seca

Restrições da consulta:
Código da Estação:75230000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
75230000;1;01/05/2020;;1;1;137.258;17.296;46.914;24;4;1;1;1;0;0;20.264;21.281;19.261;17.296;35.624;57.708;67.297;40.414;33.871;29.315;24.944;26.018;33.292;39.806;40.414;33.292;28.758;26.56;24.411;22.831;22.311;59.053;122.233;137.258;119.776;86.108;71.525;61.769;52.413;45.363;33.871;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
75230000;1;01/04/2020;;1;1;41.024;14.46;23.177;8;26;1;1;1;;0;22.831;21.795;20.771;22.311;23.355;28.204;34.452;41.024;38.599;29.875;23.881;20.264;18.271;31.57;24.944;26.56;25.479;23.355;21.281;20.264;19.261;18.271;17.296;16.336;15.39;14.46;16.814;22.831;17.296;18.271;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
75230000;1;01/03/2020;;1;1;40.414;21.795;28.354;1;28;1;1;1;;0;40.414;37.999;35.624;33.292;31.57;30.437;29.315;28.204;27.105;26.018;24.944;23.881;22.831;23.881;24.944;23.881;22.831;26.56;34.452;32.141;33.292;34.452;33.292;29.315;26.56;24.411;22.831;21.795;23.355;25.479;23.881;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
75230000;1;01/02/2020;;1;1;61.509;34.814;45.821;19;14;1;1;1;0;0;60.149;57.453;54.792;52.165;49.573;47.017;50.217;40.792;42.018;40.183;40.792;38.37;35.989;34.814;37.175;39.576;47.653;54.792;61.509;50.864;44.498;42.634;40.792;39.576;38.37;43.253;54.792;45.753;43.253;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
75230000;1;01/01/2020;;1;1;128.536;57.453;77.412;12;29;1;1;1;;0;76.995;74.11;70.547;67.031;64.254;61.509;60.149;60.149;60.149;63.565;86.572;128.536;121.921;89.579;81.377;98.764;122.743;112.983;95.675;78.449;76.271;71.256;64.254;67.031;69.84;68.432;65.639;60.828;57.453;60.828;62.878;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
75230000;1;01/12/2019;;1;1;137.783;69.135;95.825;1;30;1;1;1;;0;137.783;131.041;124.391;118.65;117.836;112.179;110.577;108.981;105.809;102.661;99.54;94.141;91.852;93.377;91.852;94.907;93.377;96.445;93.377;85.825;90.335;87.321;82.853;84.335;81.377;78.449;75.549;72.679;69.84;69.135;74.11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
75230000;1;01/11/2019;;1;1;1021.902;135.244;314.938;6;25;1;1;1;;0;461.496;383.399;291.585;297.839;1000.006;1021.902;842.31;666.362;475.677;351.317;292.625;257.842;236.967;227.195;213.706;195.762;180.987;175.529;171.915;168.322;163.859;156.787;148.067;139.483;135.244;138.633;168.322;180.987;158.547;145.477;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
75230000;1;01/10/2019;;1;1;363.396;57.453;148.044;6;1;1;1;1;0;0;57.453;58.797;85.079;131.879;272.02;363.396;298.885;214.662;158.547;122.743;108.981;100.318;94.141;90.335;93.377;91.093;90.335;117.023;124.391;111.378;114.594;112.179;112.179;103.446;94.141;88.072;89.579;292.625;317.879;238.934;240.906;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
75230000;1;01/09/2019;;1;1;129.37;60.149;88.471;1;30;1;1;1;;0;129.37;124.391;112.983;102.661;94.141;88.072;85.825;97.216;93.377;87.321;76.271;80.643;91.093;86.572;80.643;76.995;80.643;94.907;115.402;105.809;96.445;89.579;83.593;77.721;74.11;71.256;68.432;65.639;62.878;60.149;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
75230000;1;01/08/2019;;1;1;129.37;69.84;96.317;3;26;1;1;1;;0;126.044;125.217;129.37;125.217;121.921;118.65;115.402;112.179;108.981;110.577;112.179;108.186;106.599;100.318;96.445;93.377;90.335;87.321;82.853;79.909;76.995;74.11;72.679;74.11;71.256;69.84;72.679;72.679;74.11;71.256;105.019;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
