Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro. 2 = Pluviógrafo. 3 = Data logger
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Acumulado

Restrições da consulta:
Código da Estação:00540114


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
540114;1;01/07/2020;1;3.0;5.0;10;2;1;1;1;;;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/06/2020;1;8.0;8.0;10;1;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/05/2020;1;22.0;72.5;17;7;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.5;22.0;1.5;0.0;0.0;0.0;6.0;0.0;19.5;3.0;0.0;0.0;0.0;11.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/04/2020;1;43.5;120.0;23;8;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;3.5;13.0;0.0;12.0;0.0;0.0;43.5;0.0;32.5;4.5;6.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/03/2020;1;125.0;417.5;25;19;1;1;1;;;11.0;20.0;22.0;7.5;4.0;1.0;35.0;0.0;0.0;0.0;11.0;7.5;21.5;40.0;20.0;16.5;0.0;0.0;14.5;0.0;0.0;0.0;0.0;24.5;125.0;0.0;12.0;4.5;0.0;0.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/02/2020;1;40.0;180.0;2;11;1;1;1;;;0.0;40.0;0.0;0.0;15.0;9.5;0.0;0.0;0.0;0.0;11.0;0.0;0.0;3.5;0.0;39.0;0.0;5.0;21.0;0.0;5.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/01/2020;1;39.5;140.0;9;11;1;1;1;;;6.0;0.0;0.0;0.0;0.0;0.0;0.5;2.0;39.5;12.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;3.0;22.5;0.0;28.0;13.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/12/2019;1;4.5;4.5;13;1;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/11/2019;1;0.0;0.0;1;0;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/10/2019;1;0.0;0.0;1;0;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/09/2019;1;0.0;0.0;1;0;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/08/2019;1;0.0;0.0;1;0;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/07/2019;1;0.0;0.0;1;0;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/06/2019;1;3.0;6.0;16;3;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/05/2019;1;13.0;30.0;25;4;1;1;1;;;1.5;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/04/2019;1;36.5;218.5;6;17;1;1;1;;;24.0;12.5;4.2;0.0;24.5;36.5;12.0;0.0;0.0;0.0;0.0;5.5;0.0;0.0;5.0;20.5;0.0;19.0;1.0;0.0;18.5;15.0;0.0;0.0;0.0;6.8;8.0;2.0;3.5;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/03/2019;1;63.0;204.0;15;18;1;1;1;;;0.0;0.0;17.5;0.0;4.0;1.0;0.0;6.0;0.0;0.0;3.8;0.0;4.5;5.1;63.0;20.0;0.0;22.0;0.0;0.0;0.0;0.0;2.8;21.0;0.0;2.0;0.5;15.5;7.8;3.0;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/02/2019;1;27.0;153.6;25;12;1;1;1;;;0.0;0.0;0.0;0.0;17.5;11.0;17.0;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;13.5;10.0;0.0;0.0;0.0;0.0;23.0;11.5;27.0;5.5;5.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/01/2019;1;19.5;54.0;26;4;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.5;11.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/12/2018;1;42.0;126.0;6;7;1;1;1;;;0.0;0.0;0.0;0.0;13.0;42.0;7.5;0.0;2.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.5;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/11/2018;1;0.0;0.0;1;0;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/10/2018;1;13.0;13.0;16;1;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/09/2018;1;0.0;0.0;1;0;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/08/2018;1;0.0;0.0;1;0;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/07/2018;1;0.0;0.0;1;0;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/06/2018;1;4.0;4.0;19;1;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/05/2018;1;25.5;25.5;21;1;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/04/2018;1;85.0;162.0;12;9;1;1;1;;;0.0;0.0;0.0;0.0;4.5;0.0;0.0;6.0;8.5;0.0;38.0;85.0;8.5;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/03/2018;1;54.0;191.5;3;5;1;1;1;;;49.5;0.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;45.0;0.0;0.0;0.0;0.0;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/02/2018;1;35.0;161.0;12;10;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;0.0;0.0;26.5;0.0;21.0;3.0;16.0;0.0;0.0;19.0;0.0;2.0;16.5;8.0;14.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/01/2018;1;13.0;29.0;26;4;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;13.0;2.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/12/2017;1;0.0;0.0;1;0;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/11/2017;1;0.0;0.0;1;0;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540114;1;01/10/2017;1;0.0;0.0;1;0;1;1;1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
