Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro. 2 = Pluviógrafo. 3 = Data logger
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Acumulado

Restrições da consulta:
Código da Estação:02951027


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2951027;1;01/05/2020;1;65.0;149.0;22;6;1;1;1;;0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.0;11.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2951027;1;01/04/2020;1;15.0;21.6;7;3;1;1;1;;0;0.0;3.6;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2951027;1;01/03/2020;1;7.0;15.5;19;3;1;1;1;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2951027;1;01/02/2020;1;10.0;72.0;17;13;1;1;1;;0;0.0;0.0;0.0;0.0;5.0;2.0;2.0;2.0;3.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;10.0;4.0;3.0;0.0;0.0;0.0;5.0;10.0;10.0;0.0;0.0;0.0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
2951027;1;01/01/2020;1;27.9;125.5;11;9;1;1;1;;0;2.0;20.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;12.2;27.9;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;12.5;0.0;0.0;0.0;0.0;0.0;0.0;15.0;7.9;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2951027;1;01/12/2019;1;10.0;26.5;5;4;1;1;1;;0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2951027;1;01/11/2019;1;59.0;167.5;5;8;1;1;1;;0;0.0;0.0;5.0;19.0;59.0;0.0;10.0;40.0;0.0;7.5;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2951027;1;01/10/2019;1;60.0;302.3;5;12;1;1;1;;0;0.0;0.0;23.0;38.0;60.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.5;0.0;0.0;35.0;27.0;0.0;0.0;8.3;6.5;0.0;0.0;0.0;0.0;0.0;33.0;0.0;13.0;31.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2951027;1;01/09/2019;1;35.0;109.5;1;9;1;1;1;;0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;5.0;15.0;0.0;0.0;0.0;8.0;21.0;6.0;10.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2951027;1;01/08/2019;1;14.0;49.1;2;6;1;1;1;;0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;2.3;11.0;7.3;0.0;0.0;13.5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
