Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro. 2 = Pluviógrafo. 3 = Data logger
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Acumulado

Restrições da consulta:
Código da Estação:02854003


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2854003;1;01/05/2020;1;85.4;229.1;5;9;1;1;1;;0;2.4;0.0;0.0;0.0;85.4;42.8;0.0;0.0;0.0;0.0;0.0;7.3;24.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.5;13.4;4.2;0.0;0.0;0.0;0.0;0.0;0.0;6.7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2854003;1;01/04/2020;1;26.4;54.6;7;3;1;1;1;;0;0.0;0.0;18.8;0.0;0.0;0.0;26.4;0.0;0.0;0.0;0.0;0.0;0.0;9.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2854003;1;01/03/2020;1;45.6;87.7;18;3;1;1;1;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.7;25.4;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2854003;1;01/01/2020;1;47.5;201.8;13;10;1;1;1;;0;0.0;0.0;0.0;0.0;6.3;0.0;0.0;0.0;0.0;0.0;34.3;0.0;47.5;3.7;37.7;14.4;0.0;0.0;0.0;0.0;0.0;6.5;9.3;0.0;0.0;0.0;0.0;0.0;0.0;38.6;3.5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2854003;1;01/12/2019;1;20.5;73.7;20;6;1;1;1;;0;14.3;0.0;0.0;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.3;0.0;0.0;15.5;0.0;0.0;0.0;20.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.5;0.0;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2854003;1;01/11/2019;1;88.6;234.0;5;6;1;1;1;;0;0.0;0.0;0.0;70.8;88.6;0.0;0.0;5.5;0.0;0.0;0.0;0.0;0.0;15.3;0.0;0.0;0.0;0.0;8.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.5;0.0;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2854003;1;01/10/2019;1;71.7;213.5;28;11;1;1;1;;0;0.0;0.0;23.7;18.4;33.5;14.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.7;3.5;0.0;0.0;0.0;2.6;0.0;10.5;0.0;0.0;0.0;0.0;0.0;0.0;71.7;7.4;0.0;12.8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2854003;1;01/09/2019;1;12.8;36.3;12;4;1;1;1;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.5;0.0;0.0;0.0;12.8;0.0;0.0;0.0;0.0;0.0;6.4;9.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2854003;1;01/08/2019;1;43.3;82.1;30;5;1;1;1;;0;0.0;13.4;0.0;0.0;0.0;0.0;0.0;0.0;3.3;16.5;0.0;0.0;5.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.3;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2854003;1;01/07/2019;1;42.8;110.6;24;9;1;1;1;;0;12.3;0.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.4;0.0;0.0;0.0;0.0;12.4;0.0;0.0;0.0;5.3;42.8;0.0;4.2;8.4;0.0;0.0;12.3;0.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
