Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
MediaDiaria: 0 = Não. 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga. 2 = Transferência de vazões. 3 = Soma de vazões. 4 = ADCP
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Régua Seca

Restrições da consulta:
Código da Estação:88641000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
88641000;1;01/05/2020;;1;1;;;;;;0;0;0;0;0;8.418;8.008;;;;;;;;;;;;;;;;;;;;7.348;25.418;259.097;70.273;37.03;25.668;19.812;16.483;14.567;12.949;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;
88641000;1;01/04/2020;;1;1;;;;;;0;0;0;;0;;;10.477;12.433;10.322;8.144;;;;;;;;;;;;;;;;;;;;;;;;7.348;;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
88641000;1;01/03/2020;;1;1;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;7.22;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
88641000;1;01/02/2020;;1;1;;;;;;0;0;0;0;0;9.271;9.271;8.982;8.418;8.008;7.609;7.22;7.348;8.28;7.874;;;;;;;;;7.874;9.126;9.418;8.008;7.22;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;
88641000;1;01/01/2020;;1;1;18.107;8.418;12.066;12;30;1;1;1;;0;15.509;17.285;17.285;14.753;13.836;13.124;12.776;12.604;12.433;12.263;13.477;18.107;14.017;12.433;11.109;10.949;11.761;12.949;11.433;10.79;10.477;10.949;10.949;10.168;9.565;9.418;9.126;8.982;8.698;8.418;8.418;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
88641000;1;01/12/2019;;1;1;30.112;15.129;20.919;1;27;1;1;1;;0;30.112;27.712;26.425;25.418;24.432;23.467;22.289;21.144;20.251;19.378;18.949;18.107;17.285;16.682;18.107;26.425;28.766;22.522;19.594;17.285;20.251;28.5;22.289;18.737;17.083;15.702;15.129;15.129;15.895;18.949;16.483;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
88641000;1;01/11/2019;;1;1;930.844;32.334;134.076;1;30;1;1;1;;0;930.844;352.254;316.048;225.315;283.149;222.943;151.429;124.565;105.702;93.372;83.715;74.615;68.575;134.012;113.27;80.008;65.245;56.539;51.704;48.141;44.377;42.72;61.205;57.687;43.379;38.568;38.257;44.043;38.257;32.334;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
88641000;1;01/10/2019;;1;1;2302.838;35.825;253.443;31;1;1;1;1;0;0;35.825;53.167;190.397;157.268;304.546;154.659;106.233;83.715;69.421;59.237;52.799;48.141;48.491;91.887;169.298;137.039;245.605;794.32;424.498;210.514;156.614;197.723;125.726;93.869;78.641;68.575;66.899;92.876;219.8;1016.12;2302.838;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
88641000;1;01/09/2019;;1;1;1926.655;31.212;197.914;12;6;1;1;1;;0;98.922;52.799;42.393;37.335;33.189;31.212;38.257;103.066;382.538;287.034;568.237;1926.655;671.658;303.736;202.189;162.557;173.413;128.653;100.466;85.128;73.735;64.835;58.847;53.536;49.906;46.754;43.71;40.138;38.568;37.949;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
88641000;1;01/08/2019;;1;1;679.877;26.936;103.918;10;30;1;1;1;;0;77.737;130.426;135.219;80.926;68.575;56.539;50.621;49.906;247.269;679.877;408.549;198.464;140.72;107.3;84.184;70.273;62.403;55.403;49.196;45.388;39.506;38.568;36.727;34.934;32.617;31.212;30.935;30.659;28.5;26.936;91.887;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
