Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
MediaDiaria: 0 = Não. 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga. 2 = Transferência de vazões. 3 = Soma de vazões. 4 = ADCP
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Régua Seca

Restrições da consulta:
Código da Estação:79400000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
79400000;1;01/02/2020;;1;1;2.451;0.066;0.623;1;11;2;2;2;;0;2.451;1.595;1.158;0.639;0.343;0.105;0.18;0.18;0.122;0.072;0.066;0.089;0.073;0.105;0.14;0.16;0.222;0.959;1.458;1.283;1.458;1.37;1.199;0.884;0.482;0.453;0.369;0.245;0.222;;;;2;;2;;;;;2;2;;;;;;2;;;;;;;2;;;;;;;0;0;
79400000;1;01/01/2020;;1;1;8.419;0.268;1.434;24;9;2;2;2;;0;3.625;2.958;1.784;1.241;0.672;0.482;0.343;0.292;0.268;0.343;0.424;0.811;1.326;0.921;0.74;0.706;0.574;0.512;0.453;0.369;0.343;1.077;3.255;8.419;4.476;2.133;1.414;1.077;0.775;1.037;1.595;2;;;;;;;;2;2;;;;;2;;;2;2;;;;;;;2;;;;;;
79400000;1;01/12/2019;;1;1;8.077;0.706;2.579;18;26;2;2;2;;0;3.438;2.958;2.785;2.616;2.29;1.881;1.784;1.549;1.283;1.037;0.811;0.74;0.811;0.811;0.74;2.958;6.923;8.077;5.319;4.821;4.207;3.625;3.255;2.561;1.37;0.706;0.811;0.884;1.503;3.438;3.944;3;;;;;;;;;;;2;2;;;;;;;2;2;2;;2;2;;;;;;;
79400000;1;01/11/2019;;1;1;;;;;;0;0;0;;0;377.432;;;62.27;47.204;55.821;69.995;50.063;;;10.909;9.839;7.41;;13.386;8.766;4.273;3.625;3.5;5.836;8.077;9.93;;15.1;8.505;5.987;10.827;11.899;12.361;12.234;;1;0;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;
79400000;1;01/10/2019;;1;1;;;;;;0;0;0;0;0;2.451;8.248;13.213;57.446;54.315;40.81;29.727;18.365;12.024;8.077;5.987;4.891;4.273;4.821;13.863;33.033;62.727;296.572;;;71.409;38.621;19.125;15.639;12.999;;;10.868;19.077;84.77;338.298;;;;;;;;;;;;2;;;;;;;0;0;;;;;;0;0;;;;;
79400000;1;01/09/2019;;1;1;;;;;;0;0;0;0;0;;23.443;16.687;10.665;5.392;;;5.392;17.847;53.486;118.805;207.159;;;70.937;32.226;18.318;15.865;13.386;11.072;8.248;6.923;5.539;4.682;3.944;3.562;3.194;3.016;2.785;2.616;;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
79400000;1;01/08/2019;;1;1;;;;;;0;0;0;;0;26.569;22.745;;;21.828;14.389;11.318;10.392;11.816;;239.424;111.75;62.574;26.323;15.458;12.234;10.299;8.333;7.741;6.294;5.392;4.408;3.944;3.688;3.438;3.255;3.135;3.016;2.9;3.016;3.438;;;0;0;;;;;;0;;;;;;;;2;;;;;;2;2;;;;;;;
79400000;1;01/07/2019;;1;1;247.837;0.369;26.983;27;7;2;2;2;;0;5.539;4.14;1.117;1.241;1.37;1.595;0.369;0.453;0.672;1.037;1.117;1.199;1.199;1.199;1.199;1.117;1.037;1.037;0.959;0.998;1.158;1.158;1.199;11.072;31.032;199.44;247.837;158.632;83.458;49.902;22.976;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;
79400000;1;01/06/2019;;1;1;5.319;1.199;2.111;1;28;2;2;2;;0;5.319;4.075;3.376;2.785;2.506;2.29;2.133;1.981;1.881;1.736;1.881;1.881;1.881;2.672;2.561;2.343;1.981;1.736;1.641;1.549;1.549;1.458;1.458;1.414;1.37;1.37;1.283;1.199;1.688;2.343;;2;2;;;;;;2;2;;;;;;;;;;;;;;2;2;;;;;;;0;
79400000;1;01/05/2019;;1;1;;;;;;0;0;0;;0;2.785;1.503;1.595;;;1.503;1.641;2.031;2.133;2.561;;;4.476;5.175;8.766;12.108;;;;2.451;3.815;5.103;11.236;14.038;19.461;;10.99;7.575;5.392;4.961;7.165;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;
