Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
MediaDiaria: 0 = Não. 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga. 2 = Transferência de vazões. 3 = Soma de vazões. 4 = ADCP
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Régua Seca

Restrições da consulta:
Código da Estação:87170000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
87170000;1;01/04/2020;;1;1;;;;;;0;0;0;;0;;;8.635;7.02;;;8.164;7.7;7.472;6.577;;;;;;;;;;;;;;;;;;;;;;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
87170000;1;01/03/2020;;1;1;;;;;;0;0;0;;0;14.827;13.46;11.098;9.844;9.113;8.164;7.7;7.472;6.798;7.02;;;;;;7.245;;;;6.798;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
87170000;1;01/02/2020;;1;1;;;;;;0;0;0;0;0;12.248;9.953;7.231;;;;;;10.326;10.956;7.572;;;6.674;;;12.643;18.536;19.13;15.791;10.201;8.267;;;;58.441;72.002;29.146;17.365;;;;;;0;0;0;0;0;;;;0;0;;0;0;;;;;;;0;0;0;;;;;0;0;
87170000;1;01/01/2020;;1;1;;;;;;0;0;0;;0;6.895;13.58;13.58;10.451;12.511;9.462;8.267;7.572;7.119;8.267;24.227;18.389;14.124;10.956;8.739;19.88;22.96;16.358;12.248;9.707;8.739;8.978;9.953;8.267;7.802;7.344;7.572;7.119;;11.211;13.042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
87170000;1;01/12/2019;;1;1;;;;;;0;0;0;;0;21.713;19.88;17.22;15.229;22.96;44.206;24.547;17.802;16.358;15.229;13.31;11.468;16.788;12.248;11.468;15.509;16.358;14.95;11.726;10.451;9.462;10.201;10.201;9.219;8.502;8.033;7.802;6.895;7.344;7.572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
87170000;1;01/11/2019;;1;1;886.473;20.791;214.478;6;30;1;1;1;;0;388.582;273.286;217.207;188.179;816.014;886.473;676.676;728.569;511.436;367.422;244.594;155.337;100.716;88.185;122.284;93.313;72.002;55.99;43.827;38.441;35.558;33.79;71.566;54.373;37.533;30.331;29.146;28.81;23.908;20.791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
87170000;1;01/10/2019;;1;1;511.436;14.124;137.071;6;1;1;1;1;0;0;14.124;14.124;22.96;101.292;430.774;511.436;338.236;196.785;95.671;60.921;48.045;38.624;32.22;48.239;56.804;60.091;164.359;325.169;273.286;158.436;92.609;91.906;80.876;61.754;50.786;41.574;50.786;228.725;124.784;129.209;304.608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87170000;1;01/09/2019;;1;1;147.865;15.369;37.925;19;11;1;1;1;;0;70.479;37.353;26.163;22.023;20.486;17.22;18.389;17.802;16.644;16.788;15.369;24.707;33.264;25.513;19.729;20.486;24.227;86.8;147.865;135.639;83.596;54.373;42.696;32.915;27.478;23.749;22.96;19.88;17.22;15.932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
87170000;1;01/08/2019;;1;1;44.206;9.953;25.013;3;29;1;1;1;;0;31.874;37.172;44.206;40.091;32.915;27.478;23.908;22.646;27.478;28.476;26.983;22.96;42.508;42.884;32.22;27.147;22.96;27.478;26.818;22.96;22.023;20.182;20.182;16.644;13.851;10.703;10.956;11.211;9.953;10.451;18.094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87170000;1;01/07/2019;;1;1;113.091;11.211;33.335;1;22;1;1;1;;0;113.091;95.198;49.606;37.896;32.915;30.843;26.163;22.334;19.279;17.802;16.644;16.931;18.389;18.684;17.51;16.074;14.124;13.31;12.776;12.511;11.726;11.211;13.31;82.913;98.523;58.441;35.38;27.147;23.908;30.843;37.896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
