Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
MediaDiaria: 0 = Não. 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga. 2 = Transferência de vazões. 3 = Soma de vazões. 4 = ADCP
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Régua Seca

Restrições da consulta:
Código da Estação:88260000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
88260000;1;01/04/2021;;1;1;;;;;;0;0;0;;0;46.171;35.459;27.032;21.575;17.737;14.755;12.458;10.863;9.136;8.867;36.533;88.437;48.248;30.529;24.593;264.547;103.754;57.985;37.992;23.557;15.514;11.015;8.093;5.94;4.54;3.449;2.113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;
88260000;1;01/03/2021;;1;1;188.337;5.739;32.729;27;20;1;1;1;;0;16.702;16.101;14.201;14.02;16.5;25.122;23.813;17.737;14.201;12.127;10.412;8.867;8.093;7.132;6.572;6.146;5.839;6.464;6.464;5.739;7.018;24.071;25.929;19.706;16.906;129.63;188.337;137.712;105.038;67.189;50.806;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
88260000;1;01/02/2021;;1;1;945.555;16.906;205.89;4;28;1;1;1;;0;91.393;49.945;163.578;945.555;554.517;332.936;191.007;123.216;119.039;82.12;69.222;215.975;491.851;388.608;279.736;379.435;371.668;299.95;196.411;119.039;77.141;56.141;44.546;35.459;28.166;22.552;18.814;16.906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88260000;1;01/01/2021;;1;1;;;;;;0;0;0;;0;1.964;1.642;1.176;1.211;1.475;1.435;1.108;;;;1.142;3.666;4.289;4.712;5.542;7.018;7.018;6.572;7.248;7.365;7.602;9.974;9.41;7.018;5.162;3.666;78.233;96.235;49.945;27.313;88.437;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;
88260000;1;01/12/2020;;1;1;;;;;;0;0;0;;0;3.521;3.449;6.357;13.84;18.595;17.111;42.559;53.437;36.895;23.813;19.035;23.557;26.753;12.458;;;;;;6.464;5.839;4.979;4.626;4.289;4.455;4.8;3.892;3.449;3.241;2.549;2.063;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;
88260000;1;01/11/2020;;1;1;49.945;3.816;12.152;1;30;1;1;1;0;0;49.945;38.362;27.595;21.575;18.378;16.3;14.942;12.794;11.483;10.711;10.119;11.483;11.326;11.015;10.265;9.136;8.219;7.483;7.365;7.365;7.018;6.357;5.542;5.07;4.54;4.289;4.048;3.892;4.127;3.816;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
88260000;1;01/10/2020;;1;1;266.689;16.5;91.601;6;26;1;1;1;0;0;142.996;195.504;252.939;215.975;262.415;266.689;220.783;202.819;173.591;121.815;81.558;65.189;53.437;45.354;39.107;34.752;30.529;27.032;24.593;22.305;20.163;18.814;18.595;19.257;18.378;16.5;18.378;46.996;74.449;56.599;52.113;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
88260000;1;01/09/2020;;1;1;404.613;34.402;147.516;28;25;1;1;1;0;0;103.116;241.615;336.582;268.84;266.689;271;219.817;139.211;84.959;61.77;50.806;66.185;71.288;154.685;112.921;126.757;143.759;154.685;136.223;92.591;61.77;48.669;42.167;37.992;34.402;36.173;155.482;404.613;303.394;197.319;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
88260000;1;01/08/2020;;1;1;98.086;9.001;26.545;30;26;1;1;1;0;0;41.005;35.105;29.926;25.929;23.303;21.575;20.394;18.814;17.527;16.702;16.906;16.906;15.904;15.514;15.322;14.942;14.384;13.662;13.311;12.794;12.291;11.642;10.561;9.831;9.272;9.001;9.974;57.985;97.466;98.086;96.849;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
88260000;1;01/07/2020;;1;1;392.576;30.529;103.733;1;24;1;1;1;0;0;392.576;330.517;242.633;191.007;191.902;176.145;126.045;93.193;138.46;124.626;120.422;119.039;112.921;91.991;71.809;60.811;55.232;50.375;44.546;39.86;41.005;37.992;34.054;30.529;30.833;38.733;37.992;36.533;47.411;56.599;49.945;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
88260000;1;01/06/2020;;1;1;516.668;12.625;180.114;13;5;1;1;1;0;0;20.163;17.111;14.942;13.662;12.625;41.39;75.52;46.996;32.385;27.313;24.071;156.282;516.668;332.936;247.756;268.84;313.856;266.689;261.353;201.896;219.817;288.625;216.932;157.887;212.17;383.352;317.386;227.613;223.696;263.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
88260000;1;01/05/2020;;1;1;353.887;3.379;38.674;24;12;1;1;1;0;0;8.604;6.905;5.94;5.445;4.979;4.712;4.54;4.372;4.127;3.816;3.521;3.379;3.449;3.449;3.666;3.741;3.593;3.666;3.593;3.593;3.97;7.845;345.175;353.887;146.064;73.917;50.375;40.24;34.402;29.332;24.593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88260000;1;01/04/2020;;1;1;35.815;3.107;6.906;3;25;1;1;1;0;0;4.455;19.257;35.815;20.626;11.326;9.136;7.018;5.94;5.35;5.255;5.07;4.889;4.54;4.372;4.127;3.816;3.741;3.741;3.593;3.449;3.31;3.31;3.174;3.174;3.107;3.107;3.174;4.372;5.94;9.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88260000;1;01/03/2020;;1;1;8.735;2.492;4.056;30;9;1;1;1;0;0;4.889;4.289;4.289;3.97;3.741;3.379;2.977;2.608;2.492;3.31;5.542;5.445;4.712;4.048;3.741;3.741;3.593;3.593;3.449;3.449;3.666;3.741;3.741;3.741;3.741;3.816;3.816;3.666;3.892;8.735;5.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88260000;1;01/02/2020;;1;1;27.88;3.741;7.527;19;17;1;1;1;0;0;9.272;7.365;6.572;6.043;5.445;5.255;5.445;4.889;4.455;4.289;4.127;4.048;4.289;4.127;4.8;4.208;3.741;12.625;27.88;19.035;12.291;9.41;8.345;8.345;7.602;7.018;6.043;6.146;5.162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88260000;1;01/01/2020;;1;1;44.949;7.132;13.736;1;14;1;1;1;0;0;44.949;41.005;31.139;21.816;16.101;13.137;11.802;9.689;8.604;9.974;9.689;8.345;7.365;7.132;7.132;8.867;9.136;9.41;8.867;8.604;15.322;16.5;16.906;11.802;9.41;11.483;10.863;10.265;9.974;9.974;10.561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88260000;1;01/12/2019;;1;1;68.711;8.604;23.783;16;14;1;1;1;0;0;41.778;35.815;28.745;24.331;22.8;18.595;17.737;16.101;14.569;13.84;12.458;9.41;9.974;8.604;9.974;68.711;63.711;56.141;44.949;34.402;28.745;23.813;19.481;14.942;13.137;11.483;11.17;10.863;10.863;14.201;25.929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
