Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
MediaDiaria: 0 = Não. 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga. 2 = Transferência de vazões. 3 = Soma de vazões. 4 = ADCP
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Régua Seca

Restrições da consulta:
Código da Estação:86720000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
86720000;1;01/01/2020;;1;1;295.068;54.007;114.723;12;3;1;1;1;;0;56.426;55.616;54.007;54.809;58.06;87.368;111.29;98.071;72.618;79.869;159.911;295.068;277.035;184.136;135.684;126.192;150.629;156.791;137.149;117.594;64.763;106.134;101.068;88.322;76.212;78.033;76.212;116.534;120.792;87.368;172.651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86720000;1;01/10/2019;;1;1;1670.101;104.097;659.12;31;1;1;1;1;;0;104.097;119.723;113.377;345.486;739.294;1486.972;1313.148;882.456;607.004;473.451;319.856;220.447;257.566;271.132;356.41;406.177;1036.2;1556.21;1336.105;928.14;671.77;724.382;660.307;550.315;434.474;336.85;299.141;694.946;692.031;825.161;1670.101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86720000;1;01/09/2019;;1;1;451.352;93.15;207.078;19;6;1;1;1;;0;311.5;277.035;184.136;167.825;144.572;93.15;161.481;215.091;171.036;177.535;137.149;159.911;124.022;134.226;115.479;97.08;167.825;324.07;451.352;410.837;410.837;352.023;309.425;238.701;192.53;137.149;156.791;124.022;134.226;131.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
86720000;1;01/08/2019;;1;1;233.16;85.47;150.364;2;26;1;1;1;;0;201.082;233.16;204.547;202.811;201.082;177.535;141.583;161.481;155.241;167.825;171.036;158.348;179.175;209.791;150.629;140.098;138.62;152.16;164.64;140.098;149.105;112.332;116.534;92.177;93.15;85.47;143.074;109.217;103.084;100.065;106.134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86720000;1;01/07/2019;;1;1;1664.621;124.022;364.418;2;30;1;1;1;;0;742.292;1664.621;1124.321;1260.066;844.078;596.025;478.423;349.838;303.237;253.745;227.675;209.791;177.535;180.822;231.326;218.655;195.932;190.838;182.476;149.105;155.241;155.241;131.33;174.273;152.16;159.911;147.587;155.241;158.348;124.022;202.811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86720000;1;01/06/2019;;1;1;2110.742;117.594;382.637;1;23;1;1;1;;0;2110.742;1315.692;971.432;787.872;604.251;629.216;463.574;422.586;284.99;311.5;309.425;218.655;206.288;179.175;220.447;177.535;156.791;172.651;194.228;144.572;143.074;161.481;117.594;158.348;150.629;161.481;204.547;171.036;164.64;164.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
86720000;1;01/05/2019;;1;1;2703.79;218.655;746.202;29;3;1;1;1;;0;493.469;360.821;218.655;332.566;629.216;555.612;470.974;392.332;317.758;279.015;683.317;806.425;988.304;790.952;657.455;590.567;498.528;415.52;451.352;281.001;354.214;324.07;334.705;343.318;1205.192;1733.519;998.487;1661.883;2703.79;1558.893;1700.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86720000;1;01/04/2019;;1;1;1275.162;85.47;273.855;28;14;1;1;1;;0;102.074;121.866;114.426;134.226;189.153;147.587;131.33;119.723;208.036;194.228;174.273;166.23;121.866;85.47;125.106;222.245;550.315;422.586;330.434;259.486;201.082;227.675;172.651;185.802;156.791;172.651;257.566;1275.162;968.072;677.533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
86720000;1;01/03/2019;;1;1;703.723;126.192;254.636;10;29;1;1;1;;0;235.001;171.036;155.241;152.16;158.348;155.241;189.153;257.566;427.324;703.723;480.917;349.838;349.838;289.004;275.061;244.297;155.241;216.87;293.041;328.306;336.85;297.101;208.036;277.035;216.87;218.655;185.802;155.241;126.192;137.149;147.587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86720000;1;01/02/2019;;1;1;470.974;69.963;194.041;26;10;1;1;1;;0;174.273;169.428;201.082;206.288;155.241;159.911;150.629;125.106;100.065;69.963;122.942;161.481;194.228;153.697;120.792;175.9;174.273;159.911;180.822;286.994;211.551;140.098;135.684;147.587;328.306;470.974;446.502;309.425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;
